"";"X";"dep";"cat";"sub";"url"
"1";1;"Almacén";"Aceites y Vinagres";"Aceites Comunes";"https://www.jumbo.com.ar/almacen/aceites-y-vinagres/aceites-comunes"
"2";2;"Almacén";"Aceites y Vinagres";"Aceites Especiales";"https://www.jumbo.com.ar/almacen/aceites-y-vinagres/aceites-especiales"
"3";3;"Almacén";"Aceites y Vinagres";"Acetos";"https://www.jumbo.com.ar/almacen/aceites-y-vinagres/acetos"
"4";4;"Almacén";"Aceites y Vinagres";"Jugos de Limón";"https://www.jumbo.com.ar/almacen/aceites-y-vinagres/jugos-de-limon"
"5";5;"Almacén";"Aceites y Vinagres";"Vinagres";"https://www.jumbo.com.ar/almacen/aceites-y-vinagres/vinagres"
"6";6;"Almacén";"Aderezos";"Mayonesas";"https://www.jumbo.com.ar/almacen/aderezos/mayonesas"
"7";7;"Almacén";"Aderezos";"Ketchup";"https://www.jumbo.com.ar/almacen/aderezos/ketchup"
"8";8;"Almacén";"Aderezos";"Mostazas";"https://www.jumbo.com.ar/almacen/aderezos/mostazas"
"9";9;"Almacén";"Aderezos";"Salsas Golf";"https://www.jumbo.com.ar/almacen/aderezos/salsas-golf"
"10";10;"Almacén";"Aderezos";"Salsas Frías";"https://www.jumbo.com.ar/almacen/aderezos/salsas-frias"
"11";11;"Almacén";"Aderezos";"Otros Condimentos";"https://www.jumbo.com.ar/almacen/aderezos/otros-condimentos"
